id;uri;title;description;created_at;city;answered;evaluated
172707139;/prefeitura-fortaleza/site-fora-do-ar-para-cadastro-do-ciptea_q1cmZLLc-FY5DSTw/;SITE FORA DO AR PARA CADASTRO DO CIPTEA;Estou tentando realizar cadastro no site da Prefeitura para solicitar a carteirinha de Autista do meu filho, porém o site está fora do ar. Não tenho como ir a nenhuma Regional para realizar tal procedimento, até porque demora muito tempo em espera para fazer. O site é para ser justamente um meio de facilitar as pessoas realizarem o cadastro para qualquer coisa que seja.;25/09/2023 às 14:32;Fortaleza - CE;False;False
172519965;/prefeitura-fortaleza/programa-nossas-guerreiras_YqCCWbBsv7diEbO6/;Programa nossas guerreiras;Me inscrevi no programa nossas guerreiras da prefeitura e estou a 4 meses esperando um retorno referente ao crédito prometido para pequenos empreendedores , tenho um pequeno negócio porém não conseguir tudo e me inscrevi para obter a ajuda do recurso prometido porém nada até agora;21/09/2023 às 18:44;Fortaleza - CE;False;False
172407001;/prefeitura-fortaleza/projeto-nossas-guerreiras_b-xjf8AQLIr6KW_v/;Projeto nossas guerreiras;Me inscrevi a 4 meses no projeto, fiz o curso, abrir o meu pelo gov, fiz a solicitação ao banco com o número do mei , tudo certinho e até o presente momento não recebi resposta sobre o crédito orientado onde então era até 60 dias para créditar em conta, estou gestante de 8 meses, já deveria estar com meu negócio pronto , pois estou tendo gastos também com a espera do bebê, porém esse crédito que era pra investir no meu negócio não veio e estar sem previsão. Já enviei diversos e-mail contando uma retorno e nada.;20/09/2023 às 11:33;Fortaleza - CE;False;False
172241263;/prefeitura-fortaleza/cras-do-castelao_-nD-wkS6Xr3G2k2F/;CRAS do castelão;O CRAS do castelão não atende as pessoas como deveria Essa é a 4 vez que venho fazer um cadastro e sempre estão remarcando.pegam o contato mais não avisam 4 viagem perdidas;18/09/2023 às 11:30;Fortaleza - CE;False;False
172139905;/prefeitura-fortaleza/falta-de-luz-na-rua_4QOUNbaUBC5sNwo-/;Falta de luz na rua;"Boa noite, segue um dos diversos protocolos feitos pelo 156 ""*******"" , há quase dois  mêses segue uma falta de luz de grande escala na minha rua, assim já foi feita diversas reclamações 156 mas sem sucesso.Por conta da falta de luz, está tendo muito acidentes no cruzamento  da Avenida Washington Luiz com rua Antônio Arruda (Jardim Guanabara For-Ce),a criminalidade aproveita para efetuar furtos e [Editado pelo Reclame Aqui], ontem tive minha moto com uma tentativa de [Editado pelo Reclame Aqui] mas com o alarme disparado o [Editado pelo Reclame Aqui] se assustou e não conseguiu concluir, pergunta por quanto tempo horários com o nosso dever em efetuar pagamentos de taxa de iluminação e temos que passar pro isso como comentado já tem mais de mês onde existem várias reclamações que cerca de 3 poste seguidos estão com a iluminação queimada pra ser mais exato 60347110 do número 480 ao número 540 está no escuro A prefeitura vai arca com custos de [Editado pelo Reclame Aqui], por conta de um problema de iluminação?";15/09/2023 às 19:02;Fortaleza - CE;False;False
171783221;/prefeitura-fortaleza/o-ait-informado-nao-esta-apto-para-apresentar-defesa_EjKgF_WMrtLQBz78/;O AIT informado não está APTO para apresentar defesa;"Moro na cidade de Sumidouro-RJ; O meu carro nunca esteve na Avenida DR. Silas Munguba 3297; Fui multado sem nunca ter ido nessa rua ou cidade; Nesse dia estava de atestado médico; Estava na cidade de Nova Friburgo-RJ; Gostaria de conseguir fazer a minha defesa, porém só recebo está mensagem ""não está apto"". Acho muito injusto isso, não sei se a minha placa foi clonada ou foi erro do Sistema na hora de copiar a placa. Número da autuação:AD01400082; Dia 18/08/2023. Não posso pagar por uma infração que não cometi.";11/09/2023 às 11:19;Sumidouro - RJ;False;False
171692673;/prefeitura-fortaleza/barulho-de-bar-e-a-agefiz-nao-fiscaliza_tMU1tdkorQpPp9TI/;Barulho de Bar e a AGEFIZ não fiscaliza;Realizei duas denúncias junto a AGEFIZ, órgão responsável da PMF, a. 1 em Maio e a 2 em agosto. Solicito que um Bar seja fiscalizado pelo alto volume de som gerando transtorno a toda a vizinhança.Estamos em setembro e não tive NENHUM avanço quanto as denúncias revelando a incompetência desse prefeito e de sua gestão.O pior é que fiz pedidos junto a Controladoria do Município para averiguar o porquê de tanto atraso. E nem mesmo a Controladoria deu algum retorno.É simplesmente uma gestão INCOMPENTENTE!;08/09/2023 às 22:44;Sobral - CE;False;False
171243221;/prefeitura-fortaleza/falta-de-agua-diaria-da-cagece_MP1MgYqgelo_klsx/;FALTA DE ÁGUA DIARIA DA CAGECE;TODOS OS DIAS EFETUO RECLAMAÇÕES A RESPEITO DE FALTA DE ÁGUA NO BAIRRO ONDE MORO, A CAGECE MANDA AS PESSOAS AQUI EM CASA MAS NÃO RESOLVEM NADA POIS NO MESMO DIA POR VOLTA DE 21 HRS FICO SEM ÁGUA EM CASA(TODOS OS DIAS ESSA FALTA DE ÁGUA) JÁ RECLAMEI DIVERSAS VEZES MAS PARECE SER PROGRAMADO POIS ATÉ O MOMENTO ELES SÓ ME FIZERAM PERDER TEMPO.;31/08/2023 às 22:58;Fortaleza - CE;False;False
170995451;/prefeitura-fortaleza/multa-indevida_1K4F2HEPsc9rOABP/;Multa [Editado pelo Reclame Aqui].;Foi aplicada uma multa pela prefeitura de Fortaleza-CE em minha motocicleta, a moto nunca saiu da região de Jaguaribe-CE, onde a mesma pertênce, abrir uma solicitação no site oficial da prefeitura mais sem resposta, irei procurar os meus diretos caso não seja resolvido.;28/08/2023 às 14:25;Jaguaribe - CE;False;False
170713657;/prefeitura-fortaleza/iluminacao-publica-de-responsabilidade-da-prefeitura-de-fortaleza-ceara_cdpwBG323uq8sgaL/;Iluminação pública de responsabilidade da prefeitura de Fortaleza/Ceará;A prefeitura não consegue corrigir o defeito de um trecho que falta luz toda noite na Rua Urucutuba entre as ruas Sgt Barbosa e Isaac de Castro no bairro Granja Lísboa ,Fortaleza -Ceará, postes que ficam no canteiro central, dois quarteirões sem iluminação, sem falar que o papel de luz vem cobrando iluminação pública e ainda  a prefeitura fala em reeleição e não consegue consertar dois trechos de iluminação..;23/08/2023 às 14:05;Fortaleza - CE;False;False
